City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Brooklyn Park;Minnesota;35.1;37845;41305;79150;3506;17490;2.85;MN;American Indian and Alaska Native;1173
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;Asian;10804
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;Black or African-American;111673
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;White;55741
Hillsboro;Oregon;35.3;50926;51434;102360;6625;19531;2.68;OR;Asian;13704
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;White;53919
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;White;83689
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;American Indian and Alaska Native;544
New Rochelle;New York;40.6;38871;40967;79838;2780;26960;2.85;NY;Hispanic or Latino;23548
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;Hispanic or Latino;8640
Mission;Texas;32.9;40530;42777;83307;2383;22608;3.51;TX;Asian;3075
Hayward;California;34.3;78152;80148;158300;4385;60970;3.32;CA;Black or African-American;20219
Melbourne;Florida;43.4;39180;40956;80136;8363;9685;2.37;FL;Hispanic or Latino;6060
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Black or African-American;3144
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Black or African-American;14529
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Asian;33854
Billings;Montana;36.3;52705;57565;110270;9121;3206;2.4;MT;Asian;1873
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;White;73232
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;Hispanic or Latino;114054
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;American Indian and Alaska Native;1169
San Buenaventura;California;37.7;53932;55785;109717;5980;18025;2.68;CA;Black or African-American;1300
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;Black or African-American;21353
Pearland;Texas;33.9;52336;59329;111665;5621;16882;3.0;TX;Black or African-American;23779
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;American Indian and Alaska Native;63758
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;Asian;1444
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;Black or African-American;1923
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;Hispanic or Latino;14259
Dallas;Texas;32.6;639019;661063;1300082;41026;326825;2.59;TX;White;839169
Glen Burnie;Maryland;36.5;33398;36461;69859;5298;6971;2.58;MD;American Indian and Alaska Native;708
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;American Indian and Alaska Native;467
Kirkland;Washington;40.8;42159;45108;87267;5156;18570;2.3;WA;White;70491
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;Hispanic or Latino;156134
Danbury;Connecticut;37.3;43435;41227;84662;3752;25675;2.74;CT;Asian;7350
New Orleans;Louisiana;35.9;185736;203881;389617;17388;21679;2.41;LA;Black or African-American;234645
Modesto;California;35.2;104852;106405;211257;9855;39613;2.969999999999999;CA;American Indian and Alaska Native;4388
Memphis;Tennessee;34.1;312237;343523;655760;31189;43318;2.55;TN;Hispanic or Latino;46621
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;Hispanic or Latino;9131
Manteca;California;35.3;37053;38397;75450;3936;13942;3.25;CA;Black or African-American;6279
Laguna Niguel;California;45.8;30193;35619;65812;2648;12571;2.58;CA;Black or African-American;881
Hialeah;Florida;43.0;111530;125552;237082;1844;170148;3.31;FL;Hispanic or Latino;227508
Palmdale;California;32.6;76361;81989;158350;6388;41974;3.54;CA;White;73480
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;Hispanic or Latino;18721
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;Black or African-American;95366
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;Asian;2726
